nohup: 忽略输入
33
len of feats dict: 428
*************************
the start epoch is: 0
model_pkls_name: pkls_densenet121_net11_6_150
------------------------- * -------------------------
train Loss:0.0194 Acc:0.9696
------------------------- * -------------------------
train Loss:0.0241 Acc:0.9579
------------------------- * -------------------------
train Loss:0.0116 Acc:0.9790
------------------------- * -------------------------
train Loss:0.0169 Acc:0.9696
------------------------- * -------------------------
train Loss:0.0068 Acc:0.9907
------------------------- * -------------------------
train Loss:0.0171 Acc:0.9720
------------------------- * -------------------------
train Loss:0.0112 Acc:0.9860
------------------------- * -------------------------
train Loss:0.0129 Acc:0.9720
------------------------- * -------------------------
train Loss:0.0139 Acc:0.9813
------------------------- * -------------------------
train Loss:0.0139 Acc:0.9766
------------------------- * -------------------------
train Loss:0.0097 Acc:0.9813
------------------------- * -------------------------
train Loss:0.0116 Acc:0.9813
------------------------- * -------------------------
train Loss:0.0145 Acc:0.9720
------------------------- * -------------------------
train Loss:0.0069 Acc:0.9836
------------------------- * -------------------------
train Loss:0.0139 Acc:0.9720
------------------------- * -------------------------
train Loss:0.0094 Acc:0.9836
------------------------- * -------------------------
train Loss:0.0039 Acc:0.9953
------------------------- * -------------------------
train Loss:0.0149 Acc:0.9813
------------------------- * -------------------------
train Loss:0.0130 Acc:0.9673
------------------------- * -------------------------
train Loss:0.0122 Acc:0.9696
------------------------- * -------------------------
train Loss:0.0165 Acc:0.9696
------------------------- * -------------------------
train Loss:0.0186 Acc:0.9603
------------------------- * -------------------------
train Loss:0.0101 Acc:0.9883
------------------------- * -------------------------
train Loss:0.0107 Acc:0.9813
------------------------- * -------------------------
train Loss:0.0024 Acc:0.9977
------------------------- * -------------------------
train Loss:0.0067 Acc:0.9860
------------------------- * -------------------------
train Loss:0.0194 Acc:0.9626
------------------------- * -------------------------
train Loss:0.0096 Acc:0.9813
------------------------- * -------------------------
train Loss:0.0083 Acc:0.9860
------------------------- * -------------------------
train Loss:0.0024 Acc:0.9977
------------------------- * -------------------------
train Loss:0.0032 Acc:0.9953
------------------------- * -------------------------
train Loss:0.0079 Acc:0.9860
------------------------- * -------------------------
train Loss:0.0069 Acc:0.9883
------------------------- * -------------------------
train Loss:0.0196 Acc:0.9579
------------------------- * -------------------------
train Loss:0.0058 Acc:0.9953
------------------------- * -------------------------
train Loss:0.0061 Acc:0.9907
------------------------- * -------------------------
train Loss:0.0101 Acc:0.9813
------------------------- * -------------------------
train Loss:0.0167 Acc:0.9579
------------------------- * -------------------------
train Loss:0.0147 Acc:0.9673
------------------------- * -------------------------
train Loss:0.0131 Acc:0.9743
------------------------- * -------------------------
train Loss:0.0077 Acc:0.9907
------------------------- * -------------------------
train Loss:0.0094 Acc:0.9836
------------------------- * -------------------------
train Loss:0.0073 Acc:0.9907
------------------------- * -------------------------
train Loss:0.0022 Acc:0.9953
------------------------- * -------------------------
train Loss:0.0019 Acc:0.9977
------------------------- * -------------------------
train Loss:0.0051 Acc:0.9930
------------------------- * -------------------------
train Loss:0.0068 Acc:0.9883
------------------------- * -------------------------
train Loss:0.0088 Acc:0.9836
------------------------- * -------------------------
train Loss:0.0064 Acc:0.9883
------------------------- * -------------------------
train Loss:0.0087 Acc:0.9907
------------------------- * -------------------------
train Loss:0.0061 Acc:0.9977
------------------------- * -------------------------
train Loss:0.0058 Acc:0.9883
------------------------- * -------------------------
train Loss:0.0142 Acc:0.9766
------------------------- * -------------------------
train Loss:0.0071 Acc:0.9883
------------------------- * -------------------------
train Loss:0.0061 Acc:0.9860
------------------------- * -------------------------
train Loss:0.0083 Acc:0.9813
------------------------- * -------------------------
train Loss:0.0034 Acc:0.9953
------------------------- * -------------------------
train Loss:0.0080 Acc:0.9883
------------------------- * -------------------------
train Loss:0.0020 Acc:0.9930
------------------------- * -------------------------
train Loss:0.0025 Acc:0.9977
------------------------- * -------------------------
train Loss:0.0012 Acc:1.0000
------------------------- * -------------------------
train Loss:0.0035 Acc:0.9930
------------------------- * -------------------------
train Loss:0.0096 Acc:0.9813
------------------------- * -------------------------
train Loss:0.0051 Acc:0.9860
------------------------- * -------------------------
train Loss:0.0052 Acc:0.9907
------------------------- * -------------------------
train Loss:0.0073 Acc:0.9836
------------------------- * -------------------------
train Loss:0.0073 Acc:0.9907
------------------------- * -------------------------
train Loss:0.0091 Acc:0.9860
------------------------- * -------------------------
train Loss:0.0067 Acc:0.9836
------------------------- * -------------------------
train Loss:0.0059 Acc:0.9930
------------------------- * -------------------------
train Loss:0.0048 Acc:0.9930
------------------------- * -------------------------
train Loss:0.0045 Acc:0.9930
------------------------- * -------------------------
train Loss:0.0083 Acc:0.9836
------------------------- * -------------------------
train Loss:0.0019 Acc:0.9953
------------------------- * -------------------------
train Loss:0.0056 Acc:0.9907
------------------------- * -------------------------
train Loss:0.0037 Acc:0.9953
------------------------- * -------------------------
train Loss:0.0061 Acc:0.9883
------------------------- * -------------------------
train Loss:0.0154 Acc:0.9813
------------------------- * -------------------------
train Loss:0.0098 Acc:0.9836
------------------------- * -------------------------
train Loss:0.0076 Acc:0.9860
------------------------- * -------------------------
train Loss:0.0025 Acc:0.9953
------------------------- * -------------------------
train Loss:0.0065 Acc:0.9883
------------------------- * -------------------------
train Loss:0.0018 Acc:0.9953
------------------------- * -------------------------
train Loss:0.0020 Acc:0.9977
------------------------- * -------------------------
train Loss:0.0051 Acc:0.9907
------------------------- * -------------------------
train Loss:0.0023 Acc:0.9953
------------------------- * -------------------------
train Loss:0.0017 Acc:0.9977
---------------------train start----------------------
Best epoch: 123
Train Loss: tensor(0.0012, device='cuda:4')
Train Acc: tensor(1.0000, device='cuda:4')
---------------------train end----------------------
